date,net_contribution,dwt_contribution,berth_duration,moor_duration,moor_num,berth_num,DailyAverageTemperature,DailyAverageRelativeHumidity,DailyAverageWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall
2021/5/15,185647.29644517222,386268.0709361178,145.71444444444444,0,0,4.040914964589609,64,33,4.5,0,0,0
2021/5/16,210588.84149513324,403125.7685443616,158.45777777777778,27.638055555555557,0.5,3.720135971599137,67,31,3.1,0.005,0,0
2021/5/17,243517.56159340809,492270.28025594284,203.6675,9.723611111111111,0.666666667,4.887640444316893,67,42,2,0.01,0,0
2021/5/18,269598.2783845773,557701.3588438546,224.4661111111111,21.905277777777776,0.333333333,6.473060423645917,67,44,3.6,0,0,0
2021/5/19,209855.69869190818,434936.77644428995,186.00416666666666,42.32611111111111,1.166666667,6.010088198136127,71,37,4.9,0,0,0
2021/5/20,237260.87419271882,479548.4960989181,246.82222222222222,70.31444444444445,2.5,6.314805739437956,76,38,4.8,0,0,0
2021/5/21,279144.6969748114,576313.4221272114,287.6433333333333,64.00138888888888,2.833333333,7.220738487019728,68,38,2.4,0,0,0
2021/5/22,293520.8431416018,622203.8604118989,270.5138888888889,38.33,1.333333333,6.4506356223398225,69,46,1.6,0,0,0
2021/5/23,255666.34496425957,534588.5207000354,196.84083333333334,14.385555555555555,0.666666667,4.906884825461262,77,46,3.4,0,0,0
2021/5/24,258336.8251419727,555512.5481875158,201.7136111111111,16.038888888888888,0.5,5.586240693115731,78,51,7.2,0,0,0
2021/5/25,252473.73848234827,567303.6268401094,232.53333333333333,10.735833333333334,0.5,6.836807145195671,64,48,5.8,0,0,0
2021/5/26,275471.03914150887,576801.9443268625,219.5988888888889,0,0,6.007617006546123,66,60,4.5,0,0,0
2021/5/27,305716.334532996,639386.5592418272,247.885,23.933888888888887,0.5,7.551765221187214,76,72,4.3,0.07,0,0
2021/5/28,236897.89733936184,498491.04803663667,223.1472222222222,10.660833333333333,0.666666667,6.114857707905657,73,52,4.8,0.02,0,0
2021/5/29,200953.21187252732,414999.2729206062,184.36638888888888,2.7694444444444444,0,4.2684776282975205,59,62,9.7,1.22,0,0
